clima,temperatura,sequia
soleado,caliente,si
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
lluvioso,frio,no
lluvioso,frio,no
nublado,frio,si
soleado,templado,no
soleado,frio,si
lluvioso,templado,si
soleado,templado,si
nublado,templado,si
nublado,caliente,si
lluvioso,templado,no
soleado,caliente,no
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
lluvioso,frio,no
lluvioso,frio,no
nublado,frio,si
soleado,templado,no
soleado,frio,si
lluvioso,templado,si
soleado,templado,si
nublado,templado,si
nublado,caliente,si
lluvioso,templado,no
soleado,caliente,no
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
lluvioso,frio,no
lluvioso,frio,no
nublado,frio,si
soleado,templado,no
soleado,frio,si
lluvioso,templado,si
soleado,templado,si
nublado,templado,si
nublado,caliente,si
lluvioso,templado,no
soleado,caliente,no
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
lluvioso,frio,no
lluvioso,frio,no
lluvioso,frio,no
nublado,frio,si
