Aquifer;Conductivity [µS/cm];TDS [mg/l];Na+ [mg/l];K+ [mg/l];Ca 2+ [mg/l];Mg 2+ [mg/l];Cl- [mg/l];SO4 2- [mg/l];Cu 2+ [mg/l]
Ca2+Na;165.0;131600.0;41530.0;194.0;2592.0;775.0;70781.0;4186.0;0.02
Ca2;107.4;93500.0;28900.0;135.0;2764.0;663.0;48215.0;3968.0;0.02
Ca2+Na;230.4;206700.0;72125.0;177.0;2573.0;866.0;110726.0;3593.0;1.15
Ca2+Na;229.0;193500.0;65600.0;129.0;2596.0;652.0;109325.0;3623.0;4.99
Ca2 brine;336.0;293850.0;110000.0;199.0;2076.0;753.0;175200.0;3358.0;0.02
Ca2+Na;173.0;141550.0;48300.0;134.0;2854.0;695.0;80806.0;4794.0;0.048
Ca2+Na;279.0;276850.0;84600.0;1320.0;1940.0;114.2;135140.0;5609.0;0.023
Ca2+Na;171.0;133350.0;48190.0;109.0;2595.0;1144.0;75929.0;4261.0;0.02
Ca2;97.5;83250.0;25300.0;96.8;2295.0;1130.0;43746.0;3871.0;0.02
Ca2+Na;355.0;232300.0;86300.0;128.0;2475.0;667.0;130961.0;4089.0;0.02
Ca2+Na;107.3;111750.0;37000.0;126.0;3333.0;792.0;59908.0;3954.0;0.02
Ca2;82.9;81875.0;28000.0;113.0;2695.0;573.0;44861.0;4171.0;0.02
W10;217.0;170250.0;62000.0;133.0;3054.0;622.0;95434.0;3860.0;0.98
Ca2+Na;213.0;176700.0;58980.0;130.0;2549.0;651.0;98813.0;3685.0;0.02
Ca2;108.8;98850.0;31850.0;99.6;2490.0;652.0;54662.0;4034.0;1.06
Ca2+Na;215.0;178300.0;57600.0;192.0;2648.0;508.0;96710.0;3791.0;0.747
W10;288.0;264850.0;87191.0;137.0;2514.0;737.0;145066.0;3274.0;2.23
Ca2+Na;207.0;172950.0;58616.0;127.0;2534.0;668.0;98112.0;3763.0;0.696
Ca2;114.7;110200.0;39800.0;69.6;2592.0;607.0;68678.0;3858.0;0.02
Ca2;119.1;113600.0;41200.0;87.8;2553.0;575.0;70080.0;4260.0;0.02
Ca2;112.6;104900.0;32250.0;67.9;2573.0;549.0;55784.0;3736.0;0.02
W10;229.0;215000.0;74500.0;184.0;2612.0;573.0;124042.0;3722.0;0.02
Ca2+Na;183.0;161850.0;51260.0;184.0;2553.0;644.0;86198.0;4151.0;0.02
W10;332.0;298250.0;103500.0;175.0;2592.0;720.0;171447.0;3197.0;3.96
Ca2 brine;409.0;310700.0;118200.0;788.0;1277.0;620.0;189216.0;5195.0;0.02
Ca2;61.6;49800.0;15600.0;122.0;1807.0;481.0;24598.0;4042.0;0.02
Ca2 brine;390.0;310900.0;120000.0;1190.0;1669.0;621.0;179405.0;5450.0;0.02
Ca2;87.7;83500.0;23400.0;193.0;2455.0;833.0;42048.0;3815.0;0.02
Ca2;92.3;85450.0;25960.0;195.0;2494.0;654.0;145552.0;3863.0;0.02
Ca2;108.8;101050.0;31620.0;171.0;2592.0;594.0;54522.0;4021.0;0.02
Ca2;86.7;82450.0;24730.0;153.0;2622.0;554.0;43450.0;3860.0;0.02
Ca2+Na;189.0;152750.0;48510.0;322.0;2750.0;537.0;81293.0;4584.0;0.02
Ca2+Na;172.0;147400.0;44370.0;336.0;2376.0;821.0;74986.0;4494.0;0.02
Ca2;109.0;114250.0;31500.0;120.0;3992.0;608.0;57794.0;3164.0;0.02
Ca2;114.1;103450.0;;;;;52420.0;4090.0;
Ca2;100.6;86100.0;;;;;45132.0;3871.0;
Ca2;98.2;84275.0;;;;;43730.0;3876.0;
W10;219.0;175800.0;;;;;102317.0;3781.0;
P55;131.1;123150.0;;;;;65174.0;4095.0;
Ca2;115.3;96400.0;;;;;63773.0;3988.0;
P55;113.5;114300.0;;;;;63808.0;4105.0;
Ca2+Na;246.0;126650.0;;;;;69312.0;3947.0;
Ca2+Na;245.0;127450.0;;;;;70705.0;3982.0;
W10;235.0;165450.0;;;;;97524.0;3692.0;
P55;155.0;110100.0;;;;;65480.0;4138.0;
Ca2+Na;217.0;125000.0;;;;;77323.0;3875.0;
W10;243.0;206000.0;;;;;121238.0;3692.0;
P55;180.0;150400.0;;;;;84096.0;4024.0;
Ca2;91.5;85900.0;;;;;48215.0;3883.0;
W10;232.0;200000.0;;;;;111427.0;3804.0;
P55;167.0;144150.0;;;;;77789.0;4110.0;
W10;225.0;190250.0;;;;;105821.0;3700.0;
P55;140.5;133250.0;;;;;75686.0;4061.0;
Ca2;91.6;85400.0;;;;;43169.0;3828.0;
Ca2;94.0;87150.0;;;;;45972.0;3927.0;
Ca2;96.9;90650.0;;;;;47374.0;3965.0;
Ca2;89.7;83800.0;;;;;42609.0;3828.0;
Ca2;88.9;81350.0;;;;;43169.0;3845.0;
F4;229.0;194350.0;;;;;100915.0;3802.0;
W10;214.0;185400.0;;;;;105961.0;3801.0;
P55;155.0;129000.0;;;;;77649.0;4046.0;
Ca2;89.6;82200.0;;;;;42328.0;3862.0;
Ca2;90.7;83400.0;;;;;42048.0;3776.0;
Ca2;94.7;88000.0;;;;;44010.0;3969.0;
Ca2;95.5;88525.0;;;;;45132.0;4005.0;
Ca2;89.6;82350.0;;;;;42328.0;3945.0;
W10;212.0;173600.0;;;;;110726.0;3796.0;
P55;161.0;124600.0;;;;;82975.0;4036.0;
Ca2;93.4;81475.0;;;;;46253.0;3830.0;
Ca2;95.2;83375.0;;;;;39245.0;3903.0;
Ca2;99.7;87575.0;;;;;45552.0;3893.0;
Ca2;100.5;88050.0;;;;;45552.0;3874.0;
P55;131.6;117850.0;;;;;75686.0;4028.0;
W10;205.0;168400.0;;;;;96010.0;3845.0;
Ca2;106.7;101300.0;;;;;55363.0;3990.0;
Ca2 brine;373.0;324950.0;124000.0;143.0;2479.0;571.0;192685.0;3080.0;0.07
Ca2 brine;358.0;303950.0;108000.0;188.0;2418.0;583.0;177808.0;2973.0;0.065
Ca2 brine;377.0;325550.0;115600.0;246.0;2174.0;609.0;190560.0;3379.0;0.127
Ca2 brine;373.0;321950.0;119900.0;214.0;2276.0;621.0;196935.0;3420.0;0.02
Ca2 brine;383.0;318700.0;118000.0;270.0;2174.0;670.0;192850.0;3356.0;0.07
Ca2 brine;372.0;328500.0;127000.0;340.0;2215.0;593.0;191800.0;3294.0;0.35
Ca2 brine;379.0;322750.0;129000.0;302.0;2219.0;638.0;194580.0;3350.0;0.07
Ca2 brine;353.0;319600.0;127000.0;121.0;2341.0;612.0;190998.0;2815.0;0.07
Ca2 brine;359.0;321700.0;;;;;188892.0;3244.0;
Ca2 brine;340.0;310950.0;112975.0;241.0;2850.0;663.0;187814.0;2750.0;0.07
Ca2 brine;334.0;311450.0;126000.0;246.0;2667.0;674.0;190728.0;3014.0;0.07
Ca2;74.3;60675.0;19500.0;71.6;2301.0;842.0;34059.0;3993.0;0.07
Ca2;74.3;60025.0;19900.0;71.5;2199.0;612.0;32517.0;3743.0;0.07
Ca2;76.7;60450.0;20000.0;105.0;2077.0;647.0;31880.0;4074.0;0.07
Ca2;93.9;83225.0;26000.0;202.0;2667.0;700.0;45412.0;3531.0;0.07
Ca2;112.9;98900.0;35800.0;341.0;2850.0;797.0;57925.0;2991.0;0.07
Ca2;93.7;75525.0;26000.0;277.0;2728.0;698.0;42384.0;3852.0;0.07
Ca2;87.3;76100.0;25500.0;47.8;2637.0;693.0;40832.0;3672.0;0.07
Ca2;90.6;75925.0;;;;;54817.0;;
Ca2;;;;;;;;;
Ca2;117.8;105700.0;35000.0;183.0;2358.0;687.0;59294.0;4176.0;0.02
Ca2 brine;372.0;328450.0;118900.0;385.0;2174.0;622.0;194966.0;3239.0;0.02
Ca2 brine;372.0;323750.0;126000.0;265.0;2316.0;583.0;190022.0;3251.0;0.02
Ca2 brine;381.0;328450.0;115125.0;362.0;2316.0;676.0;190560.0;2922.0;3.62
Ca2 brine;378.0;325650.0;125000.0;385.0;2357.0;644.0;190560.0;2999.0;3.09
Ca2 brine;376.0;330400.0;129750.0;382.0;2316.0;656.0;196227.0;3038.0;2.19
Ca2 brine;364.0;305400.0;118750.0;672.0;3231.0;510.0;183476.0;2635.0;9.44
Ca2 brine;374.0;327450.0;123000.0;149.0;2601.0;559.0;184184.0;3047.0;2.39
Ca2 brine;373.0;318650.0;125000.0;164.0;2560.0;583.0;187726.0;3014.0;3.92
Ca2 brine;372.0;319500.0;126000.0;234.0;3038.0;258.0;191976.0;2978.0;4.34
Ca2 brine;380.0;331800.0;126250.0;355.0;2316.0;865.0;194102.0;3037.0;4.44
Ca2 brine;376.0;329700.0;128219.0;227.0;2235.0;936.0;191268.0;3019.0;3.65
Ca2 brine;372.0;328450.0;133375.0;200.0;2296.0;756.0;194102.0;3024.0;4.11
Ca2 brine;376.0;327050.0;128800.0;210.0;2276.0;704.0;192684.0;2969.0;0.027
Ca2 brine;372.0;324950.0;127500.0;222.0;2316.0;831.0;195518.0;3042.0;0.049
Ca2 brine;373.0;325600.0;128000.0;320.0;2438.0;795.0;192685.0;2958.0;0.063
Ca2 brine;372.0;325150.0;126500.0;315.0;2418.0;812.0;191268.0;2964.0;3.4
Ca2 brine;375.0;323650.0;126500.0;255.0;2337.0;705.0;191976.0;2923.0;0.136
Ca2 brine;374.0;327550.0;139000.0;234.0;2316.0;695.0;204728.0;3037.0;0.094
Ca2 brine;378.0;330655.0;130500.0;278.0;2296.0;692.0;196227.0;3048.0;0.02
Ca2 brine;385.0;331100.0;125000.0;254.0;2233.0;682.0;197644.0;3019.0;0.02
Ca2 brine;374.0;329100.0;116200.0;200.0;2235.0;560.0;190560.0;3136.0;0.62
Ca2 brine;379.0;334050.0;114000.0;230.0;2256.0;620.0;188434.0;2982.0;3.8
P55;331.0;240950.0;96900.0;261.0;2438.0;657.0;160098.0;;4.44
Ca2 brine;374.0;301450.0;117000.0;404.0;2601.0;771.0;186900.0;2477.0;10.2
Ca2 brine;327.0;313200.0;;;;;190998.0;2804.0;
F4;;328550.0;115500.0;;2438.0;657.0;191268.0;3216.0;
Ca2 brine;;338000.0;;;1388.0;400.0;196346.0;3419.0;
Ca2 brine;;321850.0;120000.0;;2377.0;655.0;182350.0;2862.0;
Ca2;;102100.0;30054.0;;3006.0;826.0;52644.0;3269.0;
Ca2;;102900.0;29990.0;;3101.0;705.0;53632.0;3257.0;
Ca2;;84100.0;25100.0;;2060.0;629.0;52217.0;3539.0;
Ca2;93.1;78675.0;26190.0;262.0;2728.0;724.0;43090.0;3539.0;0.02
Ca2;90.8;83200.0;26800.0;275.0;2498.0;608.0;42542.0;3828.0;0.02
Ca2;60.6;53000.0;14750.0;54.7;1775.0;466.0;25719.0;3871.0;0.02
Ca2+Na;;205400.0;;;;;117264.0;4031.0;
Ca2+Na;375.0;261000.0;91000.0;;3194.0;661.0;151466.0;3970.0;0.02
Ca2+Na;;167150.0;63200.0;;3114.0;707.0;106096.0;4296.0;
Ca2+Na;276.0;237100.0;85970.0;107.0;2834.0;634.0;130526.0;4688.0;0.02
Ca2;;113300.0;39990.0;;2655.0;512.0;69800.0;4150.0;
Ca2;116.5;97400.0;29600.0;135.0;2794.0;550.0;51373.0;3962.0;0.02
Ca2+Na;198.0;152050.0;49400.0;130.0;3074.0;656.0;83760.0;4418.0;0.168
Ca2+Na;306.0;258800.0;89000.0;125.0;2475.0;586.0;146580.0;3720.0;0.02
Ca2+Na;195.0;162150.0;57600.0;105.0;2595.0;548.0;95626.0;4477.0;0.02
Ca2+Na;197.0;159350.0;;;;;87948.0;;
Ca2;;104650.0;40900.0;;3865.0;897.0;73724.0;2912.0;
Ca2;;108100.0;36700.0;;3944.0;771.0;66576.0;2910.0;
Ca2;;129600.0;39800.0;;4714.0;797.0;73465.0;2489.0;
Ca2+Na;;2.124.203.816.123.150;7.861.246.977;;2.408.078.504;6.517.863.931;126267.0;3.604.860.292;
Ca2;;8.435.834.071.199.790;2.745.800.996;;2.905.908.521;7.379.254.883;49465.5;3.009.948.527;
Ca2;;870.554.206.491.797;2.991.860.239;;2.896.294.481;7.370.416.719;49619.0;3.035.921.176;
Ca2+Na;;2.208.442.713.913.850;8.426.418.835;;2.380.884.784;6.771.044.621;128794.0;3.778.898.079;
Ca2+Na;131.9;128150.0;38700.0;189.0;2691.0;638.0;66445.0;3753.0;0.033
